num,time,result,l1,l1x,l2,l2x,l3
15140,2015-11-30,01 11 15 26 35 06 11,228,"7,365","135,930",2,0
15139,2015-11-28,02 03 05 25 32 05 07,90,"6,169","130,414",3,2
15138,2015-11-25,01 16 20 29 32 04 07,148,"5,282","99,353",1,0
15137,2015-11-23,14 17 21 23 26 08 11,328,"14,253","204,706",6,1
15136,2015-11-21,05 20 23 29 32 02 10,91,"5,324","114,972",0,0
15135,2015-11-18,05 16 20 25 29 06 08,340,"12,306","215,683",3,1
15134,2015-11-16,01 02 06 15 35 04 07,373,"7,273","152,827",1,0
15133,2015-11-14,03 07 08 25 30 04 08,212,"9,819","175,689",2,0
15132,2015-11-11,03 08 14 18 27 01 05,311,"11,090","201,008",4,3
15131,2015-11-09,11 17 19 20 27 02 03,138,"5,292","117,185",1,0
15130,2015-11-07,17 25 31 32 34 02 12,96,"6,536","140,489",0,0
15129,2015-11-04,01 06 23 25 29 03 09,166,"5,384","111,955",0,0
15128,2015-11-02,10 12 23 30 32 03 04,155,"5,068","121,248",0,0
15127,2015-10-31,09 11 14 19 30 03 08,229,"9,139","160,519",2,0
15126,2015-10-28,04 05 08 09 21 03 06,135,"7,018","146,430",2,1
15125,2015-10-26,02 03 15 17 28 08 10,134,"10,545","185,173",0,0
15124,2015-10-24,04 06 12 31 32 03 06,106,"5,788","130,371",1,1
15123,2015-10-21,04 15 27 29 30 02 10,98,"5,520","113,931",2,0
15122,2015-10-19,11 13 15 26 35 06 11,135,"4,709","112,384",1,1
15121,2015-10-17,02 04 17 27 28 04 06,174,"8,149","160,630",1,0
15120,2015-10-14,01 09 15 24 32 05 10,"1,166","29,184","299,684",12,5
15119,2015-10-12,01 08 12 16 21 06 11,192,"8,274","145,291",2,0
15118,2015-10-10,03 07 20 24 31 04 09,284,"10,317","175,267",1,0
15117,2015-10-07,06 17 20 30 33 10 11,173,"5,700","117,058",1,0
15116,2015-10-05,07 10 19 24 33 03 07,187,"6,377","116,165",1,0
15115,2015-10-03,08 12 13 14 16 03 09,116,"7,253","136,970",2,0
15114,2015-09-30,09 18 24 31 34 02 10,103,"4,178","89,243",2,0
15113,2015-09-28,01 14 21 29 33 02 10,130,"6,715","123,569",1,0
15112,2015-09-26,04 05 15 19 28 04 11,319,"15,493","216,728",12,0
15111,2015-09-23,07 08 16 24 28 03 10,390,"9,671","164,941",1,1
15110,2015-09-21,02 07 10 22 30 07 11,166,"7,059","127,832",3,2
15109,2015-09-19,01 06 11 22 31 03 12,119,"5,752","109,095",1,0
15108,2015-09-16,01 13 16 26 31 07 12,132,"5,720","113,803",1,0
15107,2015-09-14,03 23 25 28 29 06 07,390,"8,880","173,136",2,1
